id,simbolo,nombre,imagen,precio_actual,capitalizacion_de_mercado,capitalizacion_de_mercado_ranking,valoración_totalmente_diluida,volumen_total,alto_24h,bajo_24h,cambio_precio_24h,cambio_precio_porcentual_24h,cambio_en_cap_mercado_24h,cambio_en_cap_mercado_porcentual_24h,suministro_circulante,suministro_total,suministro_circulante_maximo,ath,ath_cambio_porcentual,ath_fecha,atl,atl_cambio_porcentual,atl_fecha,ultimo_registro
bitcoin,btc,Bitcoin,https://assets.coingecko.com/coins/images/1/large/bitcoin.png?1547033579,26001.0,506596701605,1,546470690163,12245517910,26200.0,25820.0,-11.491883821141528,-0.04418,230821936.0,0.04558,19467706.0,21000000.0,21000000.0,69045.0,-62.33892,2021-11-10,67.81,38247.42541,2013-07-06,2023-08-25
ethereum,eth,Ethereum,https://assets.coingecko.com/coins/images/279/large/ethereum.png?1595348880,1646.9,198109898817,2,198109898817,7172586573,1664.66,1636.87,-1.9342316919105542,-0.11731,-214495262.53292847,-0.10815,120216444.295051,120216444.295051,,4878.26,-66.24939,2021-11-10,0.432979,380159.394,2015-10-20,2023-08-25
tether,usdt,Tether,https://assets.coingecko.com/coins/images/325/large/Tether.png?1668148663,0.998777,82747831719,3,82747831719,16653614325,1.002,0.998312,-0.003217308225029525,-0.32109,-43855059.360839844,-0.05297,82849133565.976,82849133565.976,,1.32,-24.4896,2018-07-24,0.572521,74.50443,2015-03-02,2023-08-25
binancecoin,bnb,BNB,https://assets.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1644979850,217.52,33460638258,4,43496003582,397598546,219.05,214.12,1.2,0.55517,184766306.0,0.55526,153856150.0,153856150.0,200000000.0,686.31,-68.31883,2021-05-10,0.0398177,545963.60083,2017-10-19,2023-08-25
ripple,xrp,XRP,https://assets.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1605778731,0.524277,27757801887,5,52458140292,921967656,0.529816,0.508245,0.00875761,1.69879,446224823.0,1.63383,52914193551.0,99988485729.0,100000000000.0,3.4,-84.61772,2018-01-07,0.00268621,19360.86897,2014-05-22,2023-08-25
usd-coin,usdc,USD Coin,https://assets.coingecko.com/coins/images/6319/large/USD_Coin_icon.png?1547042389,0.999554,25875656985,6,25877226938,3963426167,1.003,0.997858,-0.003060054491155873,-0.30521,42377874.0,0.16404,25878048513.725,25879618612.165,,1.17,-14.73565,2019-05-08,0.877647,13.92971,2023-03-11,2023-08-25
staked-ether,steth,Lido Staked Ether,https://assets.coingecko.com/coins/images/13442/large/steth_logo.png?1608607546,1645.63,13787495296,7,13787495296,17455438,1661.59,1634.3,-4.501592035130443,-0.2728,-20484654.293375015,-0.14835,8378256.43495917,8378256.43495917,8378256.43495917,4829.57,-65.92905,2021-11-10,482.9,240.7524,2020-12-22,2023-08-25
cardano,ada,Cardano,https://assets.coingecko.com/coins/images/975/large/cardano.png?1547034860,0.259661,9109581385,8,11697272611,221486790,0.269557,0.259485,-0.004142843974348942,-1.57043,-147014210.0289402,-1.58821,35045020830.3234,45000000000.0,45000000000.0,3.09,-91.58768,2021-09-02,0.01925275,1248.79957,2020-03-13,2023-08-25
dogecoin,doge,Dogecoin,https://assets.coingecko.com/coins/images/5/large/dogecoin.png?1547792256,0.062679,8823619458,9,8823626355,233807697,0.06303,0.061847,0.00026815,0.42966,21577185.0,0.24514,140738626383.705,140738736383.705,,0.731578,-91.43666,2021-05-08,8.69e-05,71988.39377,2015-05-06,2023-08-25
solana,sol,Solana,https://assets.coingecko.com/coins/images/4128/large/solana.png?1640133422,20.27,8271167509,10,11270758879,279243554,21.03,20.15,-0.5445659563000405,-2.61687,-230687507.9478035,-2.71338,407893377.096319,555818497.995597,,259.96,-92.21931,2021-11-06,0.500801,3938.8525,2020-05-11,2023-08-25
